xflr5 v6.59

Main plane
VLM-110m/s
QInf  =,  110.000000 ,m/s
Alpha = ,   4.750000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.311896
Cy    = ,   0.000000
Cd=,   0.009689,ICd=,    0.005025,PCd=,    0.004664
Cl   = ,8.33305e-18
Cm   =,   -0.194166
ICn=,    0.000000,PCn=,    0.000000
XCP=,    4.249220, YCP=,    0.000000, ZCP=,    0.038589 
XNP=,    0.000000
Bending =, 102331.337915

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -7.7789,   0.9829, -0.980, 0.420118, 0.005000, 0.007186,-2.436209, 0.020448, 0.2294, 0.7520, 0.2004, 0.0000
   -6.8681,   1.3243, -0.681, 0.429790, 0.004827, 0.005110,-1.617024, 0.016920, 0.2149, 0.7216, 0.2097,1549.8485
   -5.9910,   1.6531, -0.657, 0.414352, 0.004772, 0.004749,-1.073394, 0.016648, 0.2109, 0.6869, 0.2089,5048.6964
   -5.1694,   1.9612, -0.692, 0.397259, 0.004684, 0.004796,-0.734009, 0.016746, 0.2106, 0.6577, 0.2069,10476.0281
   -4.4233,   2.2409, -0.735, 0.381764, 0.004621, 0.004896,-0.515197, 0.016815, 0.2116, 0.6232, 0.2050,17452.5452
   -3.7712,   2.4853, -0.773, 0.368691, 0.004583, 0.004969,-0.370854, 0.016746, 0.2123, 0.5892, 0.2036,25303.6676
   -3.2292,   2.6885, -0.802, 0.358438, 0.004596, 0.005019,-0.275360, 0.016460, 0.2101, 0.5661, 0.2031,33163.3295
   -2.8105,   2.8455, -0.831, 0.351233, 0.004601, 0.005106,-0.213848, 0.015916, 0.2088, 0.5485, 0.2037,40105.3181
   -2.5255,   2.9523, -0.874, 0.346991, 0.004603, 0.005341,-0.177328, 0.015262, 0.2082, 0.5366, 0.2051,45281.0445
   -2.3813,   3.0064, -0.956, 0.345549, 0.004605, 0.006708,-0.159923, 0.015358, 0.2078, 0.5311, 0.2046,48043.7849
   -2.3306,   3.0424, -0.992, 0.342609, 0.004603,-0.010316,-0.152427, 0.013589, 0.2080, 0.5258, 0.2091,49032.2659
   -2.2732,   3.1314, -0.978, 0.332610, 0.004587, 0.002895,-0.140003, 0.013734, 0.2088, 0.5156, 0.2079,50158.2630
   -2.1598,   3.3073, -1.017, 0.319637, 0.004568, 0.005144,-0.118053, 0.013357, 0.2086, 0.5036, 0.2075,52427.9445
   -1.9933,   3.5657, -1.083, 0.302006, 0.004572, 0.005383,-0.091158, 0.012816, 0.2076, 0.4820, 0.2068,55873.3329
   -1.7777,   3.9002, -1.158, 0.281658, 0.004612, 0.005450,-0.064264, 0.012126, 0.2068, 0.4514, 0.2061,60533.7719
   -1.5183,   4.3026, -1.227, 0.260472, 0.004626, 0.005401,-0.040531, 0.011175, 0.2058, 0.4182, 0.2062,66444.8406
   -1.2215,   4.7630, -1.283, 0.239666, 0.004620, 0.005239,-0.021462, 0.009797, 0.2061, 0.3854, 0.2082,73624.0389
   -0.8946,   5.2701, -1.322, 0.219936, 0.004596, 0.004980,-0.007415, 0.007809, 0.2058, 0.3611, 0.2136,82054.3490
   -0.5457,   5.8113, -1.340, 0.201667, 0.004597, 0.004638, 0.001842, 0.005002, 0.2041, 0.3368, 0.2242,91667.6478
   -0.1834,   6.3734, -1.327, 0.185714, 0.004597, 0.004689, 0.006795, 0.001173, 0.2023, 0.3152, 0.2426,102330.7021
    0.1834,   6.3734, -1.327, 0.185714, 0.004597, 0.004689, 0.006795, 0.001173, 0.2023, 0.3152, 0.2426,102331.3379
    0.5457,   5.8113, -1.340, 0.201667, 0.004597, 0.004638, 0.001842, 0.005002, 0.2041, 0.3368, 0.2242,91668.2552
    0.8946,   5.2701, -1.322, 0.219936, 0.004596, 0.004980,-0.007415, 0.007809, 0.2058, 0.3611, 0.2136,82054.9039
    1.2215,   4.7630, -1.283, 0.239666, 0.004620, 0.005239,-0.021462, 0.009797, 0.2061, 0.3854, 0.2082,73624.5222
    1.5183,   4.3026, -1.227, 0.260472, 0.004626, 0.005401,-0.040531, 0.011175, 0.2058, 0.4182, 0.2062,66445.2376
    1.7777,   3.9002, -1.158, 0.281658, 0.004612, 0.005450,-0.064264, 0.012126, 0.2068, 0.4514, 0.2061,60534.0721
    1.9933,   3.5657, -1.083, 0.302006, 0.004572, 0.005383,-0.091158, 0.012816, 0.2076, 0.4820, 0.2068,55873.5290
    2.1598,   3.3073, -1.017, 0.319637, 0.004568, 0.005144,-0.118053, 0.013357, 0.2086, 0.5036, 0.2075,52428.0318
    2.2732,   3.1314, -0.978, 0.332610, 0.004587, 0.002895,-0.140003, 0.013734, 0.2088, 0.5156, 0.2079,50158.2387
    2.3306,   3.0424, -0.992, 0.342609, 0.004603,-0.010316,-0.152427, 0.013589, 0.2080, 0.5258, 0.2091,49032.1289
    2.3813,   3.0064, -0.956, 0.345549, 0.004605, 0.006708,-0.159923, 0.015358, 0.2078, 0.5311, 0.2046,48043.6122
    2.5255,   2.9523, -0.874, 0.346991, 0.004603, 0.005341,-0.177328, 0.015262, 0.2082, 0.5366, 0.2051,45280.9120
    2.8105,   2.8455, -0.831, 0.351233, 0.004601, 0.005106,-0.213848, 0.015916, 0.2088, 0.5485, 0.2037,40105.2223
    3.2292,   2.6885, -0.802, 0.358438, 0.004596, 0.005019,-0.275360, 0.016460, 0.2101, 0.5661, 0.2031,33163.2651
    3.7712,   2.4853, -0.773, 0.368691, 0.004583, 0.004969,-0.370854, 0.016746, 0.2123, 0.5892, 0.2036,25303.6283
    4.4233,   2.2409, -0.735, 0.381764, 0.004621, 0.004896,-0.515197, 0.016815, 0.2116, 0.6232, 0.2050,17452.5240
    5.1694,   1.9612, -0.692, 0.397259, 0.004684, 0.004796,-0.734009, 0.016746, 0.2106, 0.6577, 0.2069,10476.0186
    5.9910,   1.6531, -0.657, 0.414352, 0.004772, 0.004749,-1.073394, 0.016648, 0.2109, 0.6869, 0.2089,5048.6933
    6.8681,   1.3243, -0.681, 0.429790, 0.004827, 0.005110,-1.617024, 0.016920, 0.2149, 0.7216, 0.2097,1549.8480
    7.7789,   0.9829, -0.980, 0.420118, 0.005000, 0.007186,-2.436209, 0.020448, 0.2294, 0.7520, 0.2004, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
 126,   3.353e+00,  -2.381e+00,   4.907e-02,       0.001,      -0.005,       1.000,   1.969e-02,      0.6548
 127,   3.098e+00,  -2.381e+00,   4.648e-02,      -0.055,      -0.051,       0.997,   1.498e-02,      0.8898
 128,   2.912e+00,  -2.381e+00,   3.315e-02,      -0.149,      -0.132,       0.980,   9.516e-03,      1.1550
 129,   2.805e+00,  -2.381e+00,   1.408e-02,      -0.358,      -0.313,       0.880,   3.603e-03,      0.9339
Strip 11
 130,   5.747e+00,  -2.331e+00,  -5.463e-04,      -0.029,       0.011,       1.000,   2.151e-03,     -0.0430
 131,   5.637e+00,  -2.331e+00,  -3.435e-03,      -0.023,       0.009,       1.000,   6.240e-03,     -0.0618
 132,   5.391e+00,  -2.331e+00,  -7.539e-03,      -0.004,       0.005,       1.000,   9.716e-03,     -0.0226
 133,   5.032e+00,  -2.331e+00,  -6.348e-03,       0.021,       0.003,       1.000,   1.225e-02,      0.0745
 134,   4.597e+00,  -2.331e+00,   4.981e-03,       0.039,       0.006,       0.999,   1.358e-02,      0.2187
 135,   4.127e+00,  -2.331e+00,   2.345e-02,       0.041,       0.006,       0.999,   1.358e-02,      0.3645
 136,   3.668e+00,  -2.331e+00,   4.080e-02,       0.029,      -0.001,       1.000,   1.225e-02,      0.5274
 137,   3.266e+00,  -2.331e+00,   4.914e-02,      -0.009,      -0.033,       0.999,   9.722e-03,      0.7918
 138,   2.960e+00,  -2.331e+00,   4.150e-02,      -0.098,      -0.123,       0.988,   6.317e-03,      0.8774
 139,   2.779e+00,  -2.331e+00,   1.931e-02,      -0.296,      -0.346,       0.891,   2.414e-03,      0.8585
Strip 12
 140,   5.768e+00,  -2.273e+00,  -5.623e-04,      -0.029,       0.011,       1.000,   6.586e-03,     -0.0377
 141,   5.655e+00,  -2.273e+00,  -3.535e-03,      -0.023,       0.009,       1.000,   1.911e-02,     -0.0592
 142,   5.402e+00,  -2.273e+00,  -7.759e-03,      -0.004,       0.005,       1.000,   2.976e-02,     -0.0288
 143,   5.033e+00,  -2.273e+00,  -6.533e-03,       0.021,       0.003,       1.000,   3.750e-02,      0.0719
 144,   4.585e+00,  -2.273e+00,   5.127e-03,       0.039,       0.006,       0.999,   4.159e-02,      0.2145
 145,   4.101e+00,  -2.273e+00,   2.414e-02,       0.041,       0.006,       0.999,   4.160e-02,      0.3563
 146,   3.629e+00,  -2.273e+00,   4.199e-02,       0.029,      -0.001,       1.000,   3.751e-02,      0.5375
 147,   3.215e+00,  -2.273e+00,   5.058e-02,      -0.009,      -0.033,       0.999,   2.977e-02,      0.7403
 148,   2.900e+00,  -2.273e+00,   4.271e-02,      -0.098,      -0.123,       0.988,   1.934e-02,      0.9123
 149,   2.714e+00,  -2.273e+00,   1.987e-02,      -0.296,      -0.346,       0.891,   7.392e-03,      0.8083
Strip 13
 150,   5.811e+00,  -2.160e+00,  -5.939e-04,      -0.029,       0.011,       1.000,   1.140e-02,     -0.0377
 151,   5.691e+00,  -2.160e+00,  -3.734e-03,      -0.023,       0.009,       1.000,   3.309e-02,     -0.0614
 152,   5.424e+00,  -2.160e+00,  -8.195e-03,      -0.004,       0.005,       1.000,   5.152e-02,     -0.0354
 153,   5.034e+00,  -2.160e+00,  -6.900e-03,       0.021,       0.003,       1.000,   6.493e-02,      0.0650
 154,   4.561e+00,  -2.160e+00,   5.415e-03,       0.039,       0.006,       0.999,   7.201e-02,      0.2073
 155,   4.050e+00,  -2.160e+00,   2.550e-02,       0.041,       0.006,       0.999,   7.202e-02,      0.3559
 156,   3.551e+00,  -2.160e+00,   4.435e-02,       0.029,      -0.001,       1.000,   6.494e-02,      0.5293
 157,   3.114e+00,  -2.160e+00,   5.342e-02,      -0.009,      -0.033,       0.999,   5.155e-02,      0.7155
 158,   2.781e+00,  -2.160e+00,   4.511e-02,      -0.098,      -0.123,       0.988,   3.349e-02,      0.8677
 159,   2.584e+00,  -2.160e+00,   2.099e-02,      -0.296,      -0.346,       0.891,   1.280e-02,      0.7159
Strip 14
 160,   5.873e+00,  -1.993e+00,  -6.402e-04,      -0.029,       0.011,       1.000,   1.678e-02,     -0.0390
 161,   5.744e+00,  -1.993e+00,  -4.025e-03,      -0.023,       0.009,       1.000,   4.870e-02,     -0.0644
 162,   5.456e+00,  -1.993e+00,  -8.835e-03,      -0.004,       0.005,       1.000,   7.583e-02,     -0.0420
 163,   5.036e+00,  -1.993e+00,  -7.439e-03,       0.021,       0.003,       1.000,   9.558e-02,      0.0568
 164,   4.525e+00,  -1.993e+00,   5.838e-03,       0.039,       0.006,       0.999,   1.060e-01,      0.1997
 165,   3.974e+00,  -1.993e+00,   2.749e-02,       0.041,       0.006,       0.999,   1.060e-01,      0.3478
 166,   3.437e+00,  -1.993e+00,   4.781e-02,       0.029,      -0.001,       1.000,   9.559e-02,      0.5125
 167,   2.965e+00,  -1.993e+00,   5.759e-02,      -0.009,      -0.033,       0.999,   7.588e-02,      0.6796
 168,   2.606e+00,  -1.993e+00,   4.863e-02,      -0.098,      -0.123,       0.988,   4.930e-02,      0.8109
 169,   2.394e+00,  -1.993e+00,   2.263e-02,      -0.296,      -0.346,       0.891,   1.884e-02,      0.6046
Strip 15
 170,   5.953e+00,  -1.778e+00,  -7.003e-04,      -0.029,       0.011,       1.000,   2.282e-02,     -0.0406
 171,   5.813e+00,  -1.778e+00,  -4.403e-03,      -0.023,       0.009,       1.000,   6.622e-02,     -0.0676
 172,   5.497e+00,  -1.778e+00,  -9.664e-03,      -0.004,       0.005,       1.000,   1.031e-01,     -0.0477
 173,   5.038e+00,  -1.778e+00,  -8.137e-03,       0.021,       0.003,       1.000,   1.299e-01,      0.0492
 174,   4.479e+00,  -1.778e+00,   6.385e-03,       0.039,       0.006,       0.999,   1.441e-01,      0.1913
 175,   3.877e+00,  -1.778e+00,   3.007e-02,       0.041,       0.006,       0.999,   1.441e-01,      0.3354
 176,   3.289e+00,  -1.778e+00,   5.230e-02,       0.029,      -0.001,       1.000,   1.300e-01,      0.4891
 177,   2.773e+00,  -1.778e+00,   6.299e-02,      -0.009,      -0.033,       0.999,   1.032e-01,      0.6407
 178,   2.380e+00,  -1.778e+00,   5.320e-02,      -0.098,      -0.123,       0.988,   6.703e-02,      0.7502
 179,   2.149e+00,  -1.778e+00,   2.475e-02,      -0.296,      -0.346,       0.891,   2.561e-02,      0.4795
Strip 16
 180,   6.050e+00,  -1.518e+00,  -7.726e-04,      -0.029,       0.011,       1.000,   2.948e-02,     -0.0421
 181,   5.895e+00,  -1.518e+00,  -4.857e-03,      -0.023,       0.009,       1.000,   8.553e-02,     -0.0703
 182,   5.547e+00,  -1.518e+00,  -1.066e-02,      -0.004,       0.005,       1.000,   1.332e-01,     -0.0523
 183,   5.040e+00,  -1.518e+00,  -8.977e-03,       0.021,       0.003,       1.000,   1.678e-01,      0.0428
 184,   4.424e+00,  -1.518e+00,   7.044e-03,       0.039,       0.006,       0.999,   1.862e-01,      0.1829
 185,   3.759e+00,  -1.518e+00,   3.317e-02,       0.041,       0.006,       0.999,   1.862e-01,      0.3212
 186,   3.111e+00,  -1.518e+00,   5.770e-02,       0.029,      -0.001,       1.000,   1.679e-01,      0.4639
 187,   2.542e+00,  -1.518e+00,   6.949e-02,      -0.009,      -0.033,       0.999,   1.332e-01,      0.6018
 188,   2.108e+00,  -1.518e+00,   5.869e-02,      -0.098,      -0.123,       0.988,   8.658e-02,      0.6862
 189,   1.853e+00,  -1.518e+00,   2.731e-02,      -0.296,      -0.346,       0.891,   3.308e-02,      0.3438
Strip 17
 190,   6.161e+00,  -1.221e+00,  -8.552e-04,      -0.029,       0.011,       1.000,   3.659e-02,     -0.0431
 191,   5.989e+00,  -1.221e+00,  -5.377e-03,      -0.023,       0.009,       1.000,   1.062e-01,     -0.0722
 192,   5.604e+00,  -1.221e+00,  -1.180e-02,      -0.004,       0.005,       1.000,   1.653e-01,     -0.0555
 193,   5.043e+00,  -1.221e+00,  -9.937e-03,       0.021,       0.003,       1.000,   2.083e-01,      0.0381
 194,   4.361e+00,  -1.221e+00,   7.798e-03,       0.039,       0.006,       0.999,   2.311e-01,      0.1758
 195,   3.625e+00,  -1.221e+00,   3.672e-02,       0.041,       0.006,       0.999,   2.311e-01,      0.3079
 196,   2.907e+00,  -1.221e+00,   6.387e-02,       0.029,      -0.001,       1.000,   2.084e-01,      0.4400
 197,   2.277e+00,  -1.221e+00,   7.693e-02,      -0.009,      -0.033,       0.999,   1.654e-01,      0.5630
 198,   1.797e+00,  -1.221e+00,   6.497e-02,      -0.098,      -0.123,       0.988,   1.075e-01,      0.6188
 199,   1.515e+00,  -1.221e+00,   3.023e-02,      -0.296,      -0.346,       0.891,   4.106e-02,      0.1979
Strip 18
 200,   6.283e+00,  -8.946e-01,  -9.463e-04,      -0.029,       0.011,       1.000,   4.387e-02,     -0.0435
 201,   6.093e+00,  -8.946e-01,  -5.950e-03,      -0.023,       0.009,       1.000,   1.273e-01,     -0.0731
 202,   5.666e+00,  -8.946e-01,  -1.306e-02,      -0.004,       0.005,       1.000,   1.982e-01,     -0.0572
 203,   5.046e+00,  -8.946e-01,  -1.100e-02,       0.021,       0.003,       1.000,   2.498e-01,      0.0355
 204,   4.291e+00,  -8.946e-01,   8.628e-03,       0.039,       0.006,       0.999,   2.770e-01,      0.1710
 205,   3.477e+00,  -8.946e-01,   4.063e-02,       0.041,       0.006,       0.999,   2.771e-01,      0.2975
 206,   2.682e+00,  -8.946e-01,   7.067e-02,       0.029,      -0.001,       1.000,   2.498e-01,      0.4188
 207,   1.986e+00,  -8.946e-01,   8.512e-02,      -0.009,      -0.033,       0.999,   1.983e-01,      0.5242
 208,   1.455e+00,  -8.946e-01,   7.188e-02,      -0.098,      -0.123,       0.988,   1.288e-01,      0.5470
 209,   1.142e+00,  -8.946e-01,   3.345e-02,      -0.296,      -0.346,       0.891,   4.923e-02,      0.0397
Strip 19
 210,   6.413e+00,  -5.457e-01,  -1.043e-03,      -0.029,       0.011,       1.000,   5.091e-02,     -0.0431
 211,   6.204e+00,  -5.457e-01,  -6.561e-03,      -0.023,       0.009,       1.000,   1.477e-01,     -0.0728
 212,   5.733e+00,  -5.457e-01,  -1.440e-02,      -0.004,       0.005,       1.000,   2.300e-01,     -0.0571
 213,   5.049e+00,  -5.457e-01,  -1.212e-02,       0.021,       0.003,       1.000,   2.899e-01,      0.0353
 214,   4.217e+00,  -5.457e-01,   9.514e-03,       0.039,       0.006,       0.999,   3.215e-01,      0.1698
 215,   3.319e+00,  -5.457e-01,   4.480e-02,       0.041,       0.006,       0.999,   3.215e-01,      0.2922
 216,   2.443e+00,  -5.457e-01,   7.793e-02,       0.029,      -0.001,       1.000,   2.899e-01,      0.4022
 217,   1.675e+00,  -5.457e-01,   9.386e-02,      -0.009,      -0.033,       0.999,   2.301e-01,      0.4845
 218,   1.089e+00,  -5.457e-01,   7.926e-02,      -0.098,      -0.123,       0.988,   1.495e-01,      0.4682
 219,   7.443e-01,  -5.457e-01,   3.688e-02,      -0.296,      -0.346,       0.891,   5.714e-02,     -0.1365
Strip 20
 220,   6.549e+00,  -1.834e-01,  -1.144e-03,      -0.029,       0.011,       1.000,   5.724e-02,     -0.0415
 221,   6.319e+00,  -1.834e-01,  -7.195e-03,      -0.023,       0.009,       1.000,   1.661e-01,     -0.0715
 222,   5.803e+00,  -1.834e-01,  -1.579e-02,      -0.004,       0.005,       1.000,   2.586e-01,     -0.0554
 223,   5.052e+00,  -1.834e-01,  -1.330e-02,       0.021,       0.003,       1.000,   3.260e-01,      0.0376
 224,   4.140e+00,  -1.834e-01,   1.043e-02,       0.039,       0.006,       0.999,   3.615e-01,      0.1724
 225,   3.155e+00,  -1.834e-01,   4.913e-02,       0.041,       0.006,       0.999,   3.615e-01,      0.2937
 226,   2.194e+00,  -1.834e-01,   8.547e-02,       0.029,      -0.001,       1.000,   3.260e-01,      0.3958
 227,   1.352e+00,  -1.834e-01,   1.029e-01,      -0.009,      -0.033,       0.999,   2.588e-01,      0.4473
 228,   7.098e-01,  -1.834e-01,   8.693e-02,      -0.098,      -0.123,       0.988,   1.681e-01,      0.3666
 229,   3.313e-01,  -1.834e-01,   4.045e-02,      -0.296,      -0.346,       0.891,   6.425e-02,     -0.3256
Strip 21
 230,   6.549e+00,   1.834e-01,  -1.144e-03,      -0.029,      -0.011,       1.000,   5.724e-02,     -0.0415
 231,   6.319e+00,   1.834e-01,  -7.195e-03,      -0.023,      -0.009,       1.000,   1.661e-01,     -0.0715
 232,   5.803e+00,   1.834e-01,  -1.579e-02,      -0.004,      -0.005,       1.000,   2.586e-01,     -0.0554
 233,   5.052e+00,   1.834e-01,  -1.330e-02,       0.021,      -0.003,       1.000,   3.260e-01,      0.0376
 234,   4.140e+00,   1.834e-01,   1.043e-02,       0.039,      -0.006,       0.999,   3.615e-01,      0.1724
 235,   3.155e+00,   1.834e-01,   4.913e-02,       0.041,      -0.006,       0.999,   3.615e-01,      0.2937
 236,   2.194e+00,   1.834e-01,   8.547e-02,       0.029,       0.001,       1.000,   3.260e-01,      0.3958
 237,   1.352e+00,   1.834e-01,   1.029e-01,      -0.009,       0.033,       0.999,   2.588e-01,      0.4473
 238,   7.098e-01,   1.834e-01,   8.693e-02,      -0.098,       0.123,       0.988,   1.681e-01,      0.3666
 239,   3.313e-01,   1.834e-01,   4.045e-02,      -0.296,       0.346,       0.891,   6.425e-02,     -0.3256
Strip 22
 240,   6.413e+00,   5.457e-01,  -1.043e-03,      -0.029,      -0.011,       1.000,   5.091e-02,     -0.0431
 241,   6.204e+00,   5.457e-01,  -6.561e-03,      -0.023,      -0.009,       1.000,   1.477e-01,     -0.0728
 242,   5.733e+00,   5.457e-01,  -1.440e-02,      -0.004,      -0.005,       1.000,   2.300e-01,     -0.0571
 243,   5.049e+00,   5.457e-01,  -1.212e-02,       0.021,      -0.003,       1.000,   2.899e-01,      0.0353
 244,   4.217e+00,   5.457e-01,   9.514e-03,       0.039,      -0.006,       0.999,   3.215e-01,      0.1698
 245,   3.319e+00,   5.457e-01,   4.480e-02,       0.041,      -0.006,       0.999,   3.215e-01,      0.2922
 246,   2.443e+00,   5.457e-01,   7.793e-02,       0.029,       0.001,       1.000,   2.899e-01,      0.4022
 247,   1.675e+00,   5.457e-01,   9.386e-02,      -0.009,       0.033,       0.999,   2.301e-01,      0.4845
 248,   1.089e+00,   5.457e-01,   7.926e-02,      -0.098,       0.123,       0.988,   1.495e-01,      0.4682
 249,   7.443e-01,   5.457e-01,   3.688e-02,      -0.296,       0.346,       0.891,   5.714e-02,     -0.1365
Strip 23
 250,   6.283e+00,   8.946e-01,  -9.463e-04,      -0.029,      -0.011,       1.000,   4.387e-02,     -0.0435
 251,   6.093e+00,   8.946e-01,  -5.950e-03,      -0.023,      -0.009,       1.000,   1.273e-01,     -0.0731
 252,   5.666e+00,   8.946e-01,  -1.306e-02,      -0.004,      -0.005,       1.000,   1.982e-01,     -0.0572
 253,   5.046e+00,   8.946e-01,  -1.100e-02,       0.021,      -0.003,       1.000,   2.498e-01,      0.0355
 254,   4.291e+00,   8.946e-01,   8.628e-03,       0.039,      -0.006,       0.999,   2.770e-01,      0.1710
 255,   3.477e+00,   8.946e-01,   4.063e-02,       0.041,      -0.006,       0.999,   2.771e-01,      0.2975
 256,   2.682e+00,   8.946e-01,   7.067e-02,       0.029,       0.001,       1.000,   2.498e-01,      0.4188
 257,   1.986e+00,   8.946e-01,   8.512e-02,      -0.009,       0.033,       0.999,   1.983e-01,      0.5242
 258,   1.455e+00,   8.946e-01,   7.188e-02,      -0.098,       0.123,       0.988,   1.288e-01,      0.5470
 259,   1.142e+00,   8.946e-01,   3.345e-02,      -0.296,       0.346,       0.891,   4.923e-02,      0.0397
Strip 24
 260,   6.161e+00,   1.221e+00,  -8.552e-04,      -0.029,      -0.011,       1.000,   3.659e-02,     -0.0431
 261,   5.989e+00,   1.221e+00,  -5.377e-03,      -0.023,      -0.009,       1.000,   1.062e-01,     -0.0722
 262,   5.604e+00,   1.221e+00,  -1.180e-02,      -0.004,      -0.005,       1.000,   1.653e-01,     -0.0555
 263,   5.043e+00,   1.221e+00,  -9.937e-03,       0.021,      -0.003,       1.000,   2.083e-01,      0.0381
 264,   4.361e+00,   1.221e+00,   7.798e-03,       0.039,      -0.006,       0.999,   2.311e-01,      0.1758
 265,   3.625e+00,   1.221e+00,   3.672e-02,       0.041,      -0.006,       0.999,   2.311e-01,      0.3079
 266,   2.907e+00,   1.221e+00,   6.387e-02,       0.029,       0.001,       1.000,   2.084e-01,      0.4400
 267,   2.277e+00,   1.221e+00,   7.693e-02,      -0.009,       0.033,       0.999,   1.654e-01,      0.5630
 268,   1.797e+00,   1.221e+00,   6.497e-02,      -0.098,       0.123,       0.988,   1.075e-01,      0.6188
 269,   1.515e+00,   1.221e+00,   3.023e-02,      -0.296,       0.346,       0.891,   4.106e-02,      0.1979
Strip 25
 270,   6.050e+00,   1.518e+00,  -7.726e-04,      -0.029,      -0.011,       1.000,   2.948e-02,     -0.0421
 271,   5.895e+00,   1.518e+00,  -4.857e-03,      -0.023,      -0.009,       1.000,   8.553e-02,     -0.0703
 272,   5.547e+00,   1.518e+00,  -1.066e-02,      -0.004,      -0.005,       1.000,   1.332e-01,     -0.0523
 273,   5.040e+00,   1.518e+00,  -8.977e-03,       0.021,      -0.003,       1.000,   1.678e-01,      0.0428
 274,   4.424e+00,   1.518e+00,   7.044e-03,       0.039,      -0.006,       0.999,   1.862e-01,      0.1829
 275,   3.759e+00,   1.518e+00,   3.317e-02,       0.041,      -0.006,       0.999,   1.862e-01,      0.3212
 276,   3.111e+00,   1.518e+00,   5.770e-02,       0.029,       0.001,       1.000,   1.679e-01,      0.4639
 277,   2.542e+00,   1.518e+00,   6.949e-02,      -0.009,       0.033,       0.999,   1.332e-01,      0.6018
 278,   2.108e+00,   1.518e+00,   5.869e-02,      -0.098,       0.123,       0.988,   8.658e-02,      0.6862
 279,   1.853e+00,   1.518e+00,   2.731e-02,      -0.296,       0.346,       0.891,   3.308e-02,      0.3438
Strip 26
 280,   5.953e+00,   1.778e+00,  -7.003e-04,      -0.029,      -0.011,       1.000,   2.282e-02,     -0.0406
 281,   5.813e+00,   1.778e+00,  -4.403e-03,      -0.023,      -0.009,       1.000,   6.622e-02,     -0.0676
 282,   5.497e+00,   1.778e+00,  -9.664e-03,      -0.004,      -0.005,       1.000,   1.031e-01,     -0.0477
 283,   5.038e+00,   1.778e+00,  -8.137e-03,       0.021,      -0.003,       1.000,   1.299e-01,      0.0492
 284,   4.479e+00,   1.778e+00,   6.385e-03,       0.039,      -0.006,       0.999,   1.441e-01,      0.1913
 285,   3.877e+00,   1.778e+00,   3.007e-02,       0.041,      -0.006,       0.999,   1.441e-01,      0.3354
 286,   3.289e+00,   1.778e+00,   5.230e-02,       0.029,       0.001,       1.000,   1.300e-01,      0.4891
 287,   2.773e+00,   1.778e+00,   6.299e-02,      -0.009,       0.033,       0.999,   1.032e-01,      0.6407
 288,   2.380e+00,   1.778e+00,   5.320e-02,      -0.098,       0.123,       0.988,   6.703e-02,      0.7502
 289,   2.149e+00,   1.778e+00,   2.475e-02,      -0.296,       0.346,       0.891,   2.561e-02,      0.4795
Strip 27
 290,   5.873e+00,   1.993e+00,  -6.402e-04,      -0.029,      -0.011,       1.000,   1.678e-02,     -0.0390
 291,   5.744e+00,   1.993e+00,  -4.025e-03,      -0.023,      -0.009,       1.000,   4.870e-02,     -0.0644
 292,   5.456e+00,   1.993e+00,  -8.835e-03,      -0.004,      -0.005,       1.000,   7.583e-02,     -0.0420
 293,   5.036e+00,   1.993e+00,  -7.439e-03,       0.021,      -0.003,       1.000,   9.558e-02,      0.0568
 294,   4.525e+00,   1.993e+00,   5.838e-03,       0.039,      -0.006,       0.999,   1.060e-01,      0.1997
 295,   3.974e+00,   1.993e+00,   2.749e-02,       0.041,      -0.006,       0.999,   1.060e-01,      0.3478
 296,   3.437e+00,   1.993e+00,   4.781e-02,       0.029,       0.001,       1.000,   9.559e-02,      0.5125
 297,   2.965e+00,   1.993e+00,   5.759e-02,      -0.009,       0.033,       0.999,   7.588e-02,      0.6796
 298,   2.606e+00,   1.993e+00,   4.863e-02,      -0.098,       0.123,       0.988,   4.930e-02,      0.8109
 299,   2.394e+00,   1.993e+00,   2.263e-02,      -0.296,       0.346,       0.891,   1.884e-02,      0.6046
Strip 28
 300,   5.811e+00,   2.160e+00,  -5.939e-04,      -0.029,      -0.011,       1.000,   1.140e-02,     -0.0377
 301,   5.691e+00,   2.160e+00,  -3.734e-03,      -0.023,      -0.009,       1.000,   3.309e-02,     -0.0614
 302,   5.424e+00,   2.160e+00,  -8.195e-03,      -0.004,      -0.005,       1.000,   5.152e-02,     -0.0354
 303,   5.034e+00,   2.160e+00,  -6.900e-03,       0.021,      -0.003,       1.000,   6.493e-02,      0.0650
 304,   4.561e+00,   2.160e+00,   5.415e-03,       0.039,      -0.006,       0.999,   7.201e-02,      0.2073
 305,   4.050e+00,   2.160e+00,   2.550e-02,       0.041,      -0.006,       0.999,   7.202e-02,      0.3559
 306,   3.551e+00,   2.160e+00,   4.435e-02,       0.029,       0.001,       1.000,   6.494e-02,      0.5293
 307,   3.114e+00,   2.160e+00,   5.342e-02,      -0.009,       0.033,       0.999,   5.155e-02,      0.7155
